N;radius;distance;ratio;density;contacts;loose;boundary;symmetry group;reference
1746;0.022431509453412775622935089231;0.045892455966682519727282237483;44.5801474963985519644751447269;0.878539388162022572744336260517;4145;28;115;;[31]
1747;0.022426154469856796559990809489;0.045881248915154804333245029253;44.5907924759953530666686103555;0.878622910322368824015148318896;3236;50;119;;[31]
1748;0.022422956086489650745237237203;0.045874555312232736673716891594;44.5971528527642753940407013940;0.878875101479812442448756471817;3375;34;120;;[31]
1749;0.022417960972379780573689383604;0.045864101584105295328400748795;44.6070898790508918464326495570;0.878986139804341101651433780201;4462;44;115;;[31]
1750;0.022407988977455280116155795083;0.045843232605832984241360757502;44.6269409096060285499040284464;0.878706447524075327811044915410;3278;34;116;;[31]
1751;0.022401807042503451045920585142;0.045830295521991464865545437767;44.6392560253142778527526406560;0.878723518805494685453900529289;4032;50;109;;[31]
1752;0.022394229195431760066964629038;0.045814437402515206993372566958;44.6543612317762576156533593159;0.878630630203189434114704597191;3749;46;109;;[31]
1753;0.022386360721288781586869308668;0.045797971349510964400596670867;44.6700565782016065717002139454;0.878514453540438043960395619158;4556;39;110;;[31]
1754;0.022384976093321067988178754221;0.045795073819278560078440516923;44.6728196550706491597535680074;0.878906869341266773447075252077;4271;28;112;;[31]
1755;0.022378509498358743257227880671;0.045781541661642049644068343681;44.6857285143740584344949685775;0.878899941331072521323399585243;4564;37;106;;[31]
1756;0.022370824106094217242133835362;0.045765459251232376334331026709;44.7010800879517847975032252552;0.878796822202275571196999479649;3758;44;109;;[31]
1757;0.022362784653906406190455764061;0.045748636207531750378346047545;44.7171501884188044392056803202;0.878665399547074703818870063972;4638;38;109;;[31]
1758;0.022351201857349551388915400565;0.045724398986246691779771910149;44.7403234234215773879232233251;0.878255002614719450857655394745;4410;37;114;;[31]
1759;0.022358530073252465862784117048;0.045739733350156964987761265253;44.7256593668606640972608001113;0.879330902117264918123487483061;4634;70;90;;[31]
1760;0.022338854156008613808506261932;0.045698561819645635073174697828;44.7650534363251609207527749070;0.878282952806025038905420953866;3491;43;117;;[31]
1761;0.022327431555660444548254401315;0.045674660978138266166504176319;44.7879550098309567648025757683;0.877883505975827832677208272496;3304;51;117;;[31]
1762;0.022322474015257901044235573561;0.045664287910830573060211760254;44.7979018506854592628426220912;0.877991994937204718535533402024;3381;46;113;;[31]
1763;0.022319418745663121938205860112;0.045657895172732041160697239811;44.8040341639411928164783281865;0.878249826893327501833857493467;3428;58;106;;[31]
1764;0.022317391026117226060799541132;0.045653652466090658347342200137;44.8081049809870962450549028084;0.878588322063057609306486202827;4259;22;114;;[31]
1765;0.022316031762412935472585389461;0.045650808415403851012571357051;44.8108342310350945892269059437;0.878979307941105571857169231310;3691;51;114;;[31]
1766;0.022303981302871158139249227128;0.045625595024092036406499448032;44.8350447581872522606054764909;0.878527749739287077857918602180;4218;34;115;;[31]
1767;0.022292476121862261727593546164;0.045601523108746811893657986835;44.8581841933341194225046050073;0.878118586734593017804533092855;3434;37;119;;[31]
1768;0.022288294189881695195366082378;0.045592773529112909605583199827;44.8666008928567509388755682002;0.878285926357854584528193671439;3465;34;115;;[31]
1769;0.022284163651572634026527776423;0.045584131550532141699620981147;44.8749172567411197496043525021;0.878457006930975582229667719876;3280;47;118;;[31]
1770;0.022279430305009319790201036014;0.045574228456622533779686904448;44.8844510972598536707729734494;0.878580236046908779895744015246;3245;23;112;;[31]
1771;0.022263532800438174181017379887;0.045540968445629336999517165752;44.9165013011914600017201382336;0.877822525071206203840067666802;3847;41;114;;[31]
1772;0.022253989725053700635260644005;0.045521003391864079143169821044;44.9357626364944733971965890015;0.877565383985913949205066234550;3291;61;112;;[31]
1773;0.022231640841783176724279200959;0.045474248851584654576054943834;44.9809353756990184896197969845;0.876297900060488101790385258357;3534;62;116;;[31]
1774;0.022231320584637442981377583207;0.045473578879475299660921418397;44.9815833563675987426547364856;0.876766884898104062294760353619;3636;27;120;;[31]
1775;0.022226436989200357369766069923;0.045463362541240774650928024318;44.9914667153305661152813162834;0.876875739691936578477921264119;4300;33;115;;[31]
1776;0.022222305949465807842824543353;0.045454720607110309166081928750;44.9998304529705458628249217466;0.877043645919914268364806741281;4471;41;112;;[31]
1777;0.022219778019067909144445270344;0.045449432335728349325657378497;45.0049500558398783860463458604;0.877337837079993121282336435843;4544;34;113;;[31]
1778;0.022203330673970187098209364280;0.045415026192049465556212607704;45.0382879345366958099203020590;0.876532473785409086253756877262;4322;28;110;;[31]
1779;0.022189294564676618084565455424;0.045385665019484313154832931780;45.0667774536605139170825678959;0.875916967241539417494905317207;3677;30;111;;[31]
